alert_id,level,product,reason,action
DATA-P020,데이터 오류,상품명 누락,product_name: String should have at least 1 character,바코드와 입고표를 확인해 상품명을 입력
DATA-P007,데이터 오류,얼음컵 230g,stock: Input should be greater than or equal to 0,매대와 창고의 실재고를 다시 세어 0 이상으로 수정
DATA-P014,데이터 오류,초코송이,price: Input should be greater than 0,원가표를 확인하고 0원보다 큰 판매가를 다시 입력
OUT-P004,긴급,바리스타룰스 에스프레소라떼,현재 재고가 0개로 품절 상태,오늘 바로 최소 16개 발주
EXP-P024,긴급,참치마요 삼각김밥,"유통기한 1일, 남은 재고 20개",마감 할인·1+1 행사 후 남은 수량은 폐기 기준 확인
EXP-P025,긴급,햄치즈 샌드위치,"유통기한 1일, 남은 재고 12개",마감 할인·1+1 행사 후 남은 수량은 폐기 기준 확인
LOW-P001,주의,레쓰비 마일드 커피,"재고 4개, 약 0.8일분 남음",7일 판매분을 고려해 약 31개 발주
LOW-P026,주의,신라면 컵라면,"재고 7개, 약 1.4일분 남음",7일 판매분을 고려해 약 28개 발주
LOW-P019,주의,코카콜라 500ml,"재고 4개, 약 0.7일분 남음",7일 판매분을 고려해 약 38개 발주
LOW-P010,주의,포카칩 오리지널,"재고 6개, 약 1.2일분 남음",7일 판매분을 고려해 약 29개 발주
PRICE-P005,확인,스타벅스 카페라떼,이전 가격보다 +29.6% 변동,입고가와 가격표를 대조하고 오입력이면 판매가 수정
NOSALE-P015,관심,빼빼로 초코,판매 0개인데 재고가 30개 남음,진열 위치 변경 또는 묶음 할인 후 추가 발주 보류
OVER-P008,관심,왕얼음컵 300g,현재 판매 속도 기준 약 50.0일분 재고,추가 발주를 보류하고 행사 상품으로 우선 판매
OVER-P012,관심,홈런볼 초코,현재 판매 속도 기준 약 40.0일분 재고,추가 발주를 보류하고 행사 상품으로 우선 판매
