product_id,product_name,category,price,stock,daily_sales,reorder_level,expiry_days,last_price,source,inventory_value,price_change_pct,days_of_stock
P003,맥심 T.O.P 마스터라떼,커피,2400,18,3.0,6,100,2400,공급업체,43200,0.0,6.0
P005,스타벅스 카페라떼,커피,3500,10,2.0,5,60,2700,공급업체,35000,29.6,5.0
P017,하리보 골드베렌,과자,2000,16,2.0,6,300,2000,공급업체,32000,0.0,8.0
P021,웰치스 포도 355ml,음료,1800,15,3.0,8,180,1800,공급업체,27000,0.0,5.0
P001,레쓰비 마일드 커피,커피,1200,4,5.0,10,90,1200,매대,4800,0.0,0.8
P004,바리스타룰스 에스프레소라떼,커피,2600,0,4.0,8,80,2600,매대,0,0.0,0.0
P006,얼음컵 180g,얼음,800,45,12.0,20,365,800,매대,36000,0.0,3.8
P009,새우깡,과자,1700,25,3.0,8,180,1700,매대,42500,0.0,8.3
P010,포카칩 오리지널,과자,1800,6,5.0,10,150,1800,매대,10800,0.0,1.2
P013,오징어땅콩,과자,1700,15,2.0,6,180,1700,매대,25500,0.0,7.5
P016,프링글스 오리지널,과자,3500,12,2.0,6,240,3500,매대,42000,0.0,6.0
P018,포테토칩 육개장맛,과자,1800,14,3.0,7,170,1800,매대,25200,0.0,4.7
P019,코카콜라 500ml,음료,2200,4,6.0,12,150,2200,매대,8800,0.0,0.7
P023,바나나맛우유,음료,1800,22,3.0,8,3,1800,매대,39600,0.0,7.3
P024,참치마요 삼각김밥,간편식,1500,20,5.0,8,1,1500,매대,30000,0.0,4.0
P026,신라면 컵라면,간편식,1600,7,5.0,10,120,1600,매대,11200,0.0,1.4
P002,조지아 오리지널,커피,1500,24,4.0,8,120,1500,창고,36000,0.0,6.0
P008,왕얼음컵 300g,얼음,1200,150,3.0,15,365,1200,창고,180000,0.0,50.0
P011,꼬북칩 초코츄러스,과자,2000,20,4.0,8,180,2000,창고,40000,0.0,5.0
P012,홈런볼 초코,과자,1800,40,1.0,8,150,1800,창고,72000,0.0,40.0
P015,빼빼로 초코,과자,1800,30,0.0,8,150,1800,창고,54000,0.0,999.0
P022,삼다수 500ml,음료,1000,50,10.0,20,300,1000,창고,50000,0.0,5.0
P025,햄치즈 샌드위치,간편식,2800,12,2.0,5,1,2800,창고,33600,0.0,6.0
